gene	SRR3581356	SRR3581681	SRR3581703	SRR3581727	SRR3581836	SRR3581847	SRR3581866	SRR3581867	SRR3581869	SRR3581889	SRR3581893	SRR3581894
Retrocopy1	29.007753	19.418636	89.859825	22.019056	36.224758	23.672203	25.476664	28.184309	88.953011	24.444391	1.028224	13.550077
Retrocopy2	1.032470	1.552431	1.343507	2.144345	1.948616	2.309102	1.256845	1.681129	0.917303	1.224399	0.657925	0.853194
Retrocopy3	1.980004	0.735892	8.374095	3.515199	1.071375	0.964264	0.411357	1.088750	1.048058	0.752644	0.650586	0.770080
Retrocopy4	0.194439	0.022477	0.197332	0.454816	0.199597	0.179619	0.578228	0.000000	0.000000	0.577096	0.795706	0.367439
Retrocopy5	0.993173	3.959268	1.187967	1.854209	0.643829	3.060326	0.844221	2.205655	3.401540	1.983580	0.557597	1.135958
Retrocopy6	13.365157	30.752037	14.691239	74.391708	11.526982	30.219990	27.207647	22.213661	15.055294	68.665298	9.619557	6.841554
Retrocopy7	4.003497	2.414563	3.278690	3.876576	5.615505	2.390300	3.461774	3.803797	0.310076	0.443305	2.118871	3.496901
Retrocopy8	1.527498	0.981847	0.590566	1.621609	1.895391	0.657630	2.376621	1.368266	0.426078	0.609301	0.736363	0.321824
Retrocopy9	8.732479	8.726043	2.988928	4.184159	10.758913	9.155639	4.772461	5.367556	2.950758	3.768534	0.990468	2.648687
Retrocopy10	1.674067	0.000000	0.000000	0.000000	0.770618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Retrocopy11	192.329483	16.329473	235.320908	713.726379	224.165771	30.948519	494.752686	724.723511	283.273315	779.455200	64.545113	283.151550
Retrocopy12	31.907642	0.659294	15.225657	26.966940	37.492516	11.340607	0.710540	0.646267	0.512663	55.127850	0.397927	111.940697
Retrocopy13	1.096497	2.221257	3.492651	1.226412	0.945504	0.860905	1.046305	2.265063	0.791717	0.981611	0.496912	1.117391
Retrocopy14	8.142184	0.777598	1.025796	0.946142	1.024281	12.296619	1.423345	3.788214	2.981346	9.392519	1.930142	1.989867
Retrocopy15	17.541206	21.527472	5.983944	8.070485	16.929506	15.846712	17.516933	27.206499	5.840672	8.727452	4.200480	3.069557
Retrocopy16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.603385	0.000000	0.000000	0.000000	0.000000	0.000000
Retrocopy17	3.946072	5.720826	3.223024	4.730817	4.119958	6.756093	3.494669	3.952651	4.446957	2.774236	0.606450	1.869808
Retrocopy18	0.369666	0.196146	0.000000	0.000000	3.012560	0.062697	0.807337	0.293717	0.000000	0.863501	15.009758	1.063522
Retrocopy19	3.324361	5.411349	4.153013	5.620357	4.659602	4.107034	6.653911	6.780033	3.598934	3.764625	6.387214	3.745274
Retrocopy20	17.428165	14.843863	16.783409	20.406221	17.938543	14.692147	22.722490	22.912395	15.523294	22.769556	6.147213	15.154732
Retrocopy21	0.337984	0.046513	0.000000	0.000000	0.148693	0.000000	0.000000	0.052238	0.000000	0.000000	0.000000	0.000000
Retrocopy22	65.486404	23.548246	62.073433	8.542896	82.008522	52.927952	70.494339	46.374763	46.019905	6.154622	4.185836	5.948297
Retrocopy23	24.642723	10.754330	9.871343	14.349584	20.068363	12.187091	7.760472	7.319112	9.445528	17.837484	7.322284	12.810105
Retrocopy24	26.245798	6.065747	11.446923	13.392616	26.181229	7.422989	10.257225	11.340402	10.508590	13.045619	7.766717	19.153061
Retrocopy25	33.468918	67.200562	47.947819	47.453247	40.073143	74.808678	53.733429	45.536640	48.761890	22.638960	2.940152	3.632263
Retrocopy26	296.117340	577.277832	466.550781	506.499969	331.201813	590.266113	618.060059	488.743256	512.681946	160.310059	39.115627	41.920135
Retrocopy27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Retrocopy28	23.658789	25.589581	17.369913	24.740896	27.213495	24.807878	19.536360	18.194523	17.141054	23.708963	7.894528	16.755486
Retrocopy29	0.106581	0.000000	0.000000	0.384405	0.000000	0.094520	0.000000	0.115312	0.000000	0.310007	0.061955	0.130246
Retrocopy30	0.000000	0.645301	0.000000	0.799889	0.000000	0.925540	1.546506	1.656666	0.073677	1.129280	0.669676	3.251921
Retrocopy31	173.506088	1.178185	11.218527	45.697327	120.174889	0.524679	26.577898	37.922123	9.733445	46.623432	139.135452	37.472778
Retrocopy32	217.118942	0.000000	0.000000	0.000000	165.990662	0.000000	0.000000	0.000000	0.069274	0.000000	0.657543	0.054723
Retrocopy33	0.656990	1.450138	0.490691	0.491147	6.473360	0.343136	1.641130	3.883763	0.887701	1.169188	0.419519	0.458164
Retrocopy34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.420042	1.159989
Retrocopy35	0.000000	0.000000	0.000000	0.000000	0.076530	0.000000	0.073902	0.000000	0.000000	0.000000	0.285154	3.475686
Retrocopy36	0.253588	175.239822	206.582169	13.044937	0.000000	214.071350	51.708618	52.478722	216.302750	15.374223	1.230162	2.921658
Retrocopy37	5.154643	215.917130	471.828613	62.113316	5.436470	487.679810	93.164078	101.803329	416.309265	47.109413	4.427283	12.043022
Retrocopy38	20.558300	9672.000000	6874.552734	936.124512	13.138157	12516.556641	2222.674805	2027.937866	7125.576172	927.058899	19.658749	236.260406
Retrocopy39	1.976781	0.078756	0.000000	0.000000	1.290712	0.075522	0.162079	0.000000	0.062583	0.000000	0.000000	0.560289
Retrocopy40	3.863101	0.772551	0.447567	0.733223	1.318284	0.430834	1.108786	0.588260	0.927955	2.392119	0.303443	0.569674
Retrocopy41	19.176931	9.423885	6.698437	7.072772	17.041710	10.091793	11.157416	9.732491	7.556501	7.129980	37.516556	26.109074
Retrocopy42	0.993144	0.000000	0.150510	0.000000	0.506065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.549303
Retrocopy43	29.234404	14.710105	26.952606	47.660225	23.704952	12.290631	28.348383	41.393425	26.100212	49.574783	23.050478	37.209892
Retrocopy44	11.711008	23.229050	5.133688	9.926039	12.834286	23.130407	7.151790	6.188529	5.679837	10.515486	6.631072	6.187814
Retrocopy45	168.029007	78.541916	170.616745	212.246796	177.474579	88.608040	163.897644	183.893387	164.883972	220.465164	114.485870	190.652542
Retrocopy46	4.139395	1.851851	0.415948	0.451759	2.347745	2.014513	0.448677	0.433995	0.303124	0.458420	0.202072	0.308615
Retrocopy47	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232865	0.000000	0.000000	0.000000	0.000000	0.000000
Retrocopy48	9.884567	5.543190	4.703238	8.196798	10.274936	5.613081	16.750824	8.138399	4.883377	8.202681	8.032396	7.718993
Retrocopy49	35.774414	33.853329	64.923683	88.241730	38.873798	30.201752	61.734314	73.121185	64.233841	89.676109	23.282534	47.996635
Retrocopy50	1.105035	0.000000	0.000000	0.000000	0.953170	0.000000	0.000000	0.000000	0.000000	0.000000	3.457100	1.413905
Retrocopy51	1.341196	0.964458	0.905728	0.715282	6.602557	0.847581	0.931832	0.853666	0.665231	2.001373	1.477616	0.767678
Retrocopy52	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.057563	0.056470	0.000000	0.000000	0.000000	0.000000
Retrocopy53	0.088981	0.000000	0.000000	0.000000	0.000000	0.085697	0.093835	0.000000	0.000000	0.000000	0.000000	0.000000
Retrocopy54	4.395910	0.183991	0.100221	0.012546	4.055755	0.141906	0.081720	0.027699	0.058797	0.000000	0.037206	0.209654
Retrocopy55	4.032183	0.065692	0.000000	0.063825	5.410367	0.031497	0.033798	0.055333	0.013050	0.050599	0.164108	0.203607
Retrocopy56	0.324170	0.000000	0.000000	0.000000	0.052877	0.000000	0.204242	0.037153	0.000000	0.000000	0.000000	0.294618
Retrocopy57	0.000000	0.338157	0.092263	0.623885	0.044814	0.092999	40.542233	0.337366	0.101621	1.239284	0.023305	0.000000
Retrocopy58	0.000000	0.296806	0.199213	0.268241	0.000000	0.108358	0.486259	0.205587	0.293324	0.109857	0.022728	0.000000
Retrocopy59	27.723400	86.826653	5.621051	0.892132	32.838013	78.239517	1.830911	1.302681	6.246534	1.058990	2.403499	30.810570
Retrocopy60	0.000000	0.000000	0.028318	0.191427	0.000000	0.000000	1.838050	1.329890	0.000000	0.000000	0.000000	0.000000
Retrocopy61	0.000000	0.000000	0.000000	0.000000	0.000000	0.024299	0.529581	0.126737	0.000000	0.124654	0.000000	0.024191
Retrocopy62	1.012860	32.786194	8.199846	9.819628	21.524248	22.753851	7.065835	5.215650	7.609443	0.964321	6.692895	0.752097
Retrocopy63	0.926923	0.000000	0.000000	0.414759	1.246777	0.000000	0.000000	0.000000	0.000000	0.058614	0.000000	0.502299
Retrocopy64	0.063107	56.660526	85.804581	25.331545	0.458653	72.250931	38.203712	38.921463	79.017982	22.223000	12.381717	13.946363
Retrocopy65	2.834660	2.172697	0.959137	1.257611	3.495866	1.882293	0.831852	1.313583	0.881313	1.643783	2.795670	1.838628
Retrocopy66	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.544388	0.000000	0.000000	0.108664	0.000000	0.069187
Retrocopy67	0.000000	0.000000	0.000000	0.284247	0.000000	0.000000	3.458888	0.692760	0.024176	0.493204	0.149858	0.243588
Retrocopy68	1.873195	3.075361	1.476109	1.579668	1.953692	2.439979	2.083955	1.662634	1.140411	1.200937	2.065046	1.579083
Retrocopy69	1.391695	2.402136	2.856921	3.110014	4.654595	2.398070	1.327320	2.193885	0.510491	0.641737	3.530222	1.998214
Retrocopy70	0.089571	0.345148	0.049340	0.000000	0.000000	0.088025	0.047229	0.000000	0.072944	0.047136	0.053175	0.441770
Retrocopy71	5.445280	4.988824	1.498514	1.572805	2.599421	7.619087	3.072855	1.635838	1.074829	4.880911	0.426466	1.133953
Retrocopy72	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Retrocopy73	1.378300	0.601424	1.105286	1.124407	1.242585	0.501385	1.038270	1.115289	0.820112	2.149581	0.129476	0.605050
Retrocopy74	0.000000	2.567725	0.000000	0.100013	0.000000	2.400075	0.091040	0.000000	0.000000	0.201915	0.111519	0.000000
Retrocopy75	1.199615	0.463495	2.941009	0.798475	0.923018	0.616385	2.506113	0.857508	2.362782	2.485501	1.501423	1.236590
Retrocopy76	2.144958	2.251283	2.891394	11.640889	2.144292	2.263943	1.429613	1.600926	3.958347	0.804665	9.725526	0.780304
Retrocopy77	0.569623	0.137698	1.045324	0.691185	1.625754	0.949668	1.753949	1.423345	0.404352	1.110078	0.731296	0.629514
Retrocopy78	0.042344	0.083249	0.132449	0.000000	0.044355	0.039915	34.508507	44.477180	0.094600	0.042748	0.753510	0.439511
Retrocopy79	98.699913	53.293015	166.565842	21.530014	122.869041	100.497147	226.533981	178.114746	140.254868	21.092922	0.394609	0.826877
Retrocopy80	6.525334	3.776804	2.572515	1.963281	8.023925	6.505251	2.024425	0.807922	2.778941	1.741713	9.691085	7.546349
Retrocopy81	0.700597	0.698231	0.314025	0.494223	0.892422	0.769561	0.531196	0.763803	0.308821	0.299334	1.170172	0.520516
Retrocopy82	2.604887	6.151105	1.355564	0.235869	4.043351	11.799642	3.240313	2.667072	2.055632	0.140868	0.000000	0.385906
Retrocopy83	2.003412	0.118640	2.458587	2.997235	2.124153	0.326665	3.589483	1.114621	0.794869	2.702241	0.000000	0.000000
Retrocopy84	0.060867	3.434336	4.780175	2.148211	0.188719	3.523639	0.384177	0.421029	1.711386	1.862022	0.144414	0.000000
Retrocopy85	76.562973	39.048347	13.551190	52.131416	103.087875	41.587578	58.228241	54.271164	15.708034	63.171421	41.125233	98.144501
Retrocopy86	145.596710	33.173935	96.533142	195.295105	131.020218	32.823288	123.578789	160.328690	94.114075	204.822647	122.576118	241.009567
Retrocopy87	344.576752	94.159370	77.376053	159.494492	373.785522	107.832169	215.381805	154.290314	84.696281	193.536133	103.777023	128.465790
Retrocopy88	4.286302	8.860139	7.780888	2.182326	10.675237	9.141044	9.768504	11.307663	4.419959	2.882568	0.268863	3.240004
Retrocopy89	8.059296	15.719314	15.375043	15.078475	8.243535	18.707333	19.666994	20.202505	18.154654	13.633885	9.887018	16.302975
Retrocopy90	0.055373	0.036370	0.166816	0.047691	0.042200	0.038752	0.444938	0.226924	0.096338	0.139445	2.839842	0.026424
Retrocopy91	2.184731	425.260193	642.966309	95.424339	1.580378	793.605530	213.803192	189.433838	614.664551	85.993187	3.039426	7.365081
Retrocopy92	2.303558	460.863617	605.354004	80.224403	1.968412	847.567139	164.412537	154.820618	586.385559	68.881660	2.752839	8.885867
Retrocopy93	0.000000	0.104218	2.193626	0.106028	0.000000	0.099939	1.145326	0.351136	2.423217	0.107030	0.123258	0.000000
Retrocopy94	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062013	0.000000	0.000000	0.000000	0.036365	0.666916
Retrocopy95	1.971497	0.582873	1.638421	0.982027	0.900729	1.021624	1.115633	0.774187	0.505731	1.424694	0.416936	0.637515
